spp	x	y
Oenocarpus bataua	-67.083333	-14.833333
Oenocarpus bataua	-76.383333	-0.533333
Oenocarpus bataua	-78.283333	0.966667
Oenocarpus bataua	-54.7	-2.6
Oenocarpus bataua	-76.16666	0.01666
Oenocarpus bataua	-79.03277	-3.9666
Oenocarpus bataua	-79	1.08333
Oenocarpus bataua	-77.5	-2.41666
Oenocarpus bataua	-77.56666	-1.05
Oenocarpus bataua	-76.18333	0.01666
Oenocarpus bataua	-77.8	-1.53333
Oenocarpus bataua	-53.05	5.1
Oenocarpus bataua	-76.61666	5.5
Oenocarpus bataua	-74.91666	8.33333
Oenocarpus bataua	-76.83333	3.75
Oenocarpus bataua	-79.11666	0.05
Oenocarpus bataua	-76.7	-0.03333
Oenocarpus bataua	-72	-2.67
Oenocarpus bataua	-72.35	-4.1
Oenocarpus bataua	-79.116667	-0.25
Oenocarpus bataua	-76.216667	-0.033333
Oenocarpus bataua	-77.666667	-1.833334
Oenocarpus bataua	-53.08	5.08
Oenocarpus bataua	-49.939999	-0.986667
Oenocarpus bataua	-54.708302	-2.44306
Oenocarpus bataua	-76.56666	5.73333
Oenocarpus bataua	-76.83333	6.25
Oenocarpus bataua	-67.05	1.91666
Oenocarpus bataua	-77.21666	0.23333
Oenocarpus bataua	-76.36666	-0.13333
Oenocarpus bataua	-77.2	3.91666
Oenocarpus bataua	-52.339	4.738
Oenocarpus bataua	-62.451975	-4.494386
Oenocarpus bataua	-66.895798	-4.88278
Oenocarpus bataua	-70.765602	-8.16139
Oenocarpus bataua	-72.791702	-8.94111
Oenocarpus bataua	-68.504402	-10.6517
Oenocarpus bataua	-65.055555	-9.61
Oenocarpus bataua	-48.504398	-1.45583
Oenocarpus bataua	-48.196701	-1.96083
Oenocarpus bataua	-68.06	-13.172778
Oenocarpus bataua	-71.833333	7.8
Oenocarpus bataua	-60.9583	5.55461
Oenocarpus bataua	-59.96666667	-2.88333333
Oenocarpus bataua	-60.08333333	-2.6
Oenocarpus bataua	-72.8956	-7.6144
Oenocarpus bataua	-65.25	-10.075
Oenocarpus bataua	-65.33333333	-4.75
Oenocarpus bataua	-59	-1
Oenocarpus bataua	-63.65	1.73333333
Oenocarpus bataua	-68.4621667	-15.0903333
Oenocarpus bataua	-75.2802778	-9.9197223
Oenocarpus bataua	-68.4661111	-15.0758334
Oenocarpus bataua	-76.2166667	-0.0333333
Oenocarpus bataua	-66.76666	-10.65
Oenocarpus bataua	-75.09944	-10.39388
Oenocarpus bataua	-72.15	-3.0333333
Oenocarpus bataua	-76.0069444	-7.3438889
Oenocarpus bataua	-76.10277	-0.50027
Oenocarpus bataua	-67.76666	-14.45
Oenocarpus bataua	-67.5016667	-14.55
Oenocarpus bataua	-76.72666	-0.72555
Oenocarpus bataua	-76.8486111	-0.985
Oenocarpus bataua	-76.4666667	-0.2
Oenocarpus bataua	-76.8863889	-1.0425
Oenocarpus bataua	-76.9316667	-1.1636111
Oenocarpus bataua	-76.38333	-0.66666
Oenocarpus bataua	-77.8	-0.86666
Oenocarpus bataua	-78.98333	-0.3
Oenocarpus bataua	-79.41666	-0.58333
Oenocarpus bataua	-78.91666	1.01666
Oenocarpus bataua	-75.25	-0.53333
Oenocarpus bataua	-76.98333	-0.48333
Oenocarpus bataua	-67.61666	-12.45
Oenocarpus bataua	-75.32166	-10.19416
Oenocarpus bataua	-73.66667	-4.91667
Oenocarpus bataua	-61.56	-9.18
Oenocarpus bataua	-61.92	-9.18
