spp	x	y
Bertholletia excelsa	-51.28939819	-0.115000002
Bertholletia excelsa	-52.20640182	-3.20333004
Bertholletia excelsa	-70.0377778	-4.3683056
Bertholletia excelsa	-49.4258334	-5.6394444
Bertholletia excelsa	-52.009998	-2.88
Bertholletia excelsa	-61.557	-0.795472
Bertholletia excelsa	-62.519461	-4.727222
Bertholletia excelsa	-66.976402	-7.71361
Bertholletia excelsa	-64.66194444	-9.25472222
Bertholletia excelsa	-64.2272	-12.445
Bertholletia excelsa	-68.656898	-9.06556
Bertholletia excelsa	-67.809998	-9.97472
Bertholletia excelsa	-68.504402	-10.6517
Bertholletia excelsa	-59.0942	-3.88806
Bertholletia excelsa	-57.75279999	-6.222219944
Bertholletia excelsa	-56.770278	-9.3475
Bertholletia excelsa	-55.886111	-9.540833
Bertholletia excelsa	-55.226101	-11.9128
Bertholletia excelsa	-64.1925	-9.5247222
Bertholletia excelsa	-55.933333	-11.2
Bertholletia excelsa	-39.239444	-15.839722
Bertholletia excelsa	-39.133333	-16.383333
Bertholletia excelsa	-69.51756	-12.93409
Bertholletia excelsa	-69.27059	-12.83029
Bertholletia excelsa	-70.1028	-12.5652
Bertholletia excelsa	-63.85317	-8.80857
Bertholletia excelsa	-54.937199	-2.63639
Bertholletia excelsa	-58.444199	-3.14306
Bertholletia excelsa	-59.9	-3.083333
Bertholletia excelsa	-59.3	2.383333
Bertholletia excelsa	-51.783333	-0.1
Bertholletia excelsa	-66.295277	-12.490833
Bertholletia excelsa	-55	-3
Bertholletia excelsa	-52.583333	-0.666667
Bertholletia excelsa	-66.046111	-11.939167
Bertholletia excelsa	-67.83333333	-10
Bertholletia excelsa	-63.05	-11.2
Bertholletia excelsa	-63.03506667	-7.85028056
Bertholletia excelsa	-52.2	-0.8
Bertholletia excelsa	-60.5	-3.08333333
Bertholletia excelsa	-55	-9
Bertholletia excelsa	-56.15583333	-13.04305556
Bertholletia excelsa	-64.55197	-6.50698
Bertholletia excelsa	-61.005571	1.477197
Bertholletia excelsa	-60.25	-2.8
Bertholletia excelsa	-52.9725	-0.95444444
Bertholletia excelsa	-46.78280556	-1.05825
Bertholletia excelsa	-58.4953	-3.0029
Bertholletia excelsa	-57.10027778	-3.23277778
Bertholletia excelsa	-56.255	-4.50916667
Bertholletia excelsa	-51.4646	-3.113
Bertholletia excelsa	-68.5644	-9.0825
Bertholletia excelsa	-64.7	-3.37
Bertholletia excelsa	-52.5	-14.2
Bertholletia excelsa	-64.8	-3.3
Bertholletia excelsa	-54.2	-2.8
Bertholletia excelsa	-54.7	-2.6
Bertholletia excelsa	-60.5	-10.6
Bertholletia excelsa	-55.586352	-6.318412
Bertholletia excelsa	-55.983601	-4.27611
Bertholletia excelsa	-67.9458333	-11.6019444
Bertholletia excelsa	-66.76666	-10.65
Bertholletia excelsa	-67.41666	-11.66666
Bertholletia excelsa	-66.1	-10.56666
Bertholletia excelsa	-69.05	-11.1
Bertholletia excelsa	-65.42472	-10.03
Bertholletia excelsa	-65.9119	7.0758
Bertholletia excelsa	-68.06118	-13.16729
Bertholletia excelsa	-67.61666	-12.45
Bertholletia excelsa	-68.84305	-13.02583
Bertholletia excelsa	-68.28333	-12.01666
Bertholletia excelsa	-65.96666	-10.96666
Bertholletia excelsa	-64.61666	2.66666
Bertholletia excelsa	-65.1	2.18333
Bertholletia excelsa	-37.275556	-7.2775
Bertholletia excelsa	-62.1052778	1.3841666
Bertholletia excelsa	-60.9966666	2.3766667
Bertholletia excelsa	-66.5980555	-9.8516667
Bertholletia excelsa	-68.9455555	-9.1402777
Bertholletia excelsa	-52.8558333	-0.5119444
Bertholletia excelsa	-63.0694445	-9.1980555
Bertholletia excelsa	-39.6	-13.016667
Bertholletia excelsa	-59.5	2.83333
Bertholletia excelsa	-54.923	-2.887
Bertholletia excelsa	-63.1399673	-4.0955214
Bertholletia excelsa	-59.73	-2.42
Bertholletia excelsa	-59.45	-10.43
Bertholletia excelsa	-52.539719	-0.8678545
Bertholletia excelsa	-50.7972	-3.3722
Bertholletia excelsa	-64.62	2.67
Bertholletia excelsa	-55.6891206	-6.001006
Bertholletia excelsa	-55.67	-5.92
Bertholletia excelsa	-55.3063774	-7.3344924
Bertholletia excelsa	-55.2036273	-7.7548882
Bertholletia excelsa	-55.4792619	-6.7316953
Bertholletia excelsa	-65.83	-11.08
Bertholletia excelsa	-66.25	-11.03
Bertholletia excelsa	-62.63	-11.1199997
Bertholletia excelsa	-55.1247543	-8.1924344
Bertholletia excelsa	-63.22	-9.1
Bertholletia excelsa	-69.52	-10.65
Bertholletia excelsa	-68.07	-10.8
Bertholletia excelsa	-52.95225	-0.93544
Bertholletia excelsa	-52.5854588	-7.2040035
Bertholletia excelsa	-60.27	-3.38
Bertholletia excelsa	-55.787201	-20.4711
Bertholletia excelsa	-50.9122222	-6.2972222
Bertholletia excelsa	-48.33	-1.0669445
Bertholletia excelsa	-48.0372222	-1.52
Bertholletia excelsa	-50.6119444	-5.6297223
Bertholletia excelsa	-43.1036	-22.883301
Bertholletia excelsa	-55.2875	-11.581667
Bertholletia excelsa	-63.870278	-8.754444
Bertholletia excelsa	-66.24	-9.72
Bertholletia excelsa	-61.92	-10.7997222
Bertholletia excelsa	-63.0038889	-9.3936111
Bertholletia excelsa	-62.0633333	-9.7588889
Bertholletia excelsa	-64.08	-9.18
Bertholletia excelsa	-63.3975	-12.2669445
Bertholletia excelsa	-62.711399	-11.6936
Bertholletia excelsa	-64.383102	-6.53389
Bertholletia excelsa	-56.14	-2.3030556
Bertholletia excelsa	-55.0336111	-2.9147222
Bertholletia excelsa	-37.02	-5.94
Bertholletia excelsa	-62.82	-9.416389
Bertholletia excelsa	-59.456389	-1.529444
Bertholletia excelsa	-61.649722	-9.591111
Bertholletia excelsa	-53.469167	-12.325
Bertholletia excelsa	-69.29602	-12.83855
Bertholletia excelsa	-69.4588	-12.97657
Bertholletia excelsa	-49.2330556	-5.5575
Bertholletia excelsa	-52	-1.120000005
Bertholletia excelsa	-61.300301	-5.80917
Bertholletia excelsa	-63.383231	-4.138492
Bertholletia excelsa	-55.5602	-3.476208
Bertholletia excelsa	-61.953936	-6.390586
Bertholletia excelsa	-55.249167	-11.006389
Bertholletia excelsa	-49.796398	-4.33056
Bertholletia excelsa	-47.926399	-1.29389
Bertholletia excelsa	-48.768902	-1.88389
Bertholletia excelsa	-70.333333	-3.833333
Bertholletia excelsa	-52.7	-0.783333
Bertholletia excelsa	-69.1652778	-11.8888889
Bertholletia excelsa	-78.8913889	0.2186111
Bertholletia excelsa	-67.98333	-11.73333
Bertholletia excelsa	-69.23944	-12.35916
Bertholletia excelsa	-49.6	-3.5
Bertholletia excelsa	-49.4	-3.45
Bertholletia excelsa	-59.878136	-3.316294
Bertholletia excelsa	-56.3	-15
Bertholletia excelsa	-60.95277778	-2.6275
Bertholletia excelsa	-59.96666667	-2.88333333
Bertholletia excelsa	-65.69666667	-9.42388889
Bertholletia excelsa	-65.5811	-1.85611
Bertholletia excelsa	-65.03	-0.4
Bertholletia excelsa	-59.55	-3.05
Bertholletia excelsa	-59.815666	-2.75707
Bertholletia excelsa	-59.592568	-2.95
Bertholletia excelsa	-54.7	-2.4
Bertholletia excelsa	-60.74205	-1.29410278
Bertholletia excelsa	-67.764851	-4.095521
Bertholletia excelsa	-59.9	-3.02
Bertholletia excelsa	-58	-3
Bertholletia excelsa	-64.344166	-12.117777
Bertholletia excelsa	-64.472805	-9.259165
Bertholletia excelsa	-71.4094444	-11.8866666
Bertholletia excelsa	-69.1833333	-12.6333333
Bertholletia excelsa	-54.828056	-2.485556
Bertholletia excelsa	-54.9275	-3.0591667
Bertholletia excelsa	-55.7741667	-1.6302778
Bertholletia excelsa	-54.9452777	-3.2608333
Bertholletia excelsa	-55.9120739	-5.3487999
Bertholletia excelsa	-55.1042461	-8.5259261
Bertholletia excelsa	-68.67	-9.08
Bertholletia excelsa	-55.9144717	-4.5477173
Bertholletia excelsa	-52.52	-4.82
Bertholletia excelsa	-71.35	-11.87
Bertholletia excelsa	-66.03	-11.75
Bertholletia excelsa	-68.67	-11.1
Bertholletia excelsa	-52.7416277	-4.3220195
Bertholletia excelsa	-54.984464	-4.123301
Bertholletia excelsa	-60.4391384	-1.1698768
Bertholletia excelsa	-70.6683	-12.5692
Bertholletia excelsa	-63.11935	-9.724869
Bertholletia excelsa	-60.701944	-9.109722
Bertholletia excelsa	-63	-9.18
Bertholletia excelsa	-62.5052778	-9.3577778
Bertholletia excelsa	-61.835	-11.5211111
Bertholletia excelsa	-62.46	-11.52
Bertholletia excelsa	-64.1580556	-11.9230556
Bertholletia excelsa	-63.2272223	-8.9027778
Bertholletia excelsa	-62.9525	-9.1794445
Bertholletia excelsa	-47.9197223	-15.6308334
Bertholletia excelsa	-51.3786111	-6.6758334
