spp	x	y
Eperua falcata	-51.766667	3.65
Eperua falcata	-57.583333	-0.966667
Eperua falcata	-58.685306	4.671417
Eperua falcata	-58.697722	5.159389
Eperua falcata	-58.666667	5.416667
Eperua falcata	-58.8	4.3
Eperua falcata	-59.910305	5.929805
Eperua falcata	-59.899305	5.854556
Eperua falcata	-58.720972	6.284889
Eperua falcata	-60.213555	5.596833
Eperua falcata	-59.481666	5.174444
Eperua falcata	-58.58333333	-5.33333333
Eperua falcata	-60.11666667	6.08333333
Eperua falcata	-55.5	-5.41666667
Eperua falcata	-57.051441	-1.090531
Eperua falcata	-60.2722	5.67417
Eperua falcata	-58.8103	4.3375
Eperua falcata	-58.4667	5.73333
Eperua falcata	-58.6333	6.48333
Eperua falcata	-59.1224	5.37367
Eperua falcata	-58.5833	5.5
Eperua falcata	-58.25	6.41667
Eperua falcata	-58.6767	3.17722
Eperua falcata	-58.7	1.36667
Eperua falcata	-58.5333	7.25
Eperua falcata	-55.6136	3.82677
Eperua falcata	-53.0495	5.28817
Eperua falcata	-59.0244	4.75478
Eperua falcata	-51.834999	3.84306
Eperua falcata	-58.2433	6.38472
Eperua falcata	-58.5833	5.33333
Eperua falcata	-58.6667	5.33333
Eperua falcata	-56.88	4.75
Eperua falcata	-55.19	5.41
Eperua falcata	-58.5833	4.53333
Eperua falcata	-57.3167	5.1
Eperua falcata	-58.485	4.43556
Eperua falcata	-58.7833	4.45
Eperua falcata	-58.824	4.63519
Eperua falcata	-58.25	6.36667
Eperua falcata	-60.2939	5.70167
Eperua falcata	-59.3181	5.95119
Eperua falcata	-59.2311	5.98947
Eperua falcata	-59.5788	5.82011
Eperua falcata	-56.2	3.91
Eperua falcata	-60.3754	6.36042
Eperua falcata	-60.4314	6.24786
Eperua falcata	-53.2	3.61667
Eperua falcata	-53	-4
Eperua falcata	-52.42	4.03
Eperua falcata	-55.18879	5.4202
Eperua falcata	-55.18241	5.47369
Eperua falcata	-55.32864	5.44819
Eperua falcata	-55.18463	4.94896
Eperua falcata	-58.75	5.25
Eperua falcata	-55.33729	5.44932
Eperua falcata	-55.32414	5.5163
Eperua falcata	-55.07479	5.44502
Eperua falcata	-58.69984	5.18668
Eperua falcata	-58.7336	4.61209
Eperua falcata	-58.62895	5.01508
Eperua falcata	-58.62095	5.02294
Eperua falcata	-52.9	5.38333
Eperua falcata	-57.23333	4.4
Eperua falcata	-52.08333	4.53333
Eperua falcata	-59.00722	4.74564
Eperua falcata	-59.7	7.36667
Eperua falcata	-59.9	5.03333
Eperua falcata	-53.28333	4.83333
Eperua falcata	-58.93333	4.25
Eperua falcata	-53.01667	5.01667
Eperua falcata	-58.83333	6.35
Eperua falcata	-58.16667	6.41667
Eperua falcata	-54.73333	4.26667
Eperua falcata	-52.93333	5.26667
Eperua falcata	-56.51894	4.36144
Eperua falcata	-56.51667	5.1
Eperua falcata	-60	5.08333
Eperua falcata	-52.91667	5.33333
Eperua falcata	-55.13383	4.90183
Eperua falcata	-58.2166667	6.4833333
Eperua falcata	-52.8833333	5.3
Eperua falcata	-58.66666	5.33333
Eperua falcata	-58.16666	6.41666
Eperua falcata	-51.68333	3.35
Eperua falcata	-55.43472	3.96805
Eperua falcata	-56.8805556	4.7583333
Eperua falcata	-55.11	5.25
Eperua falcata	-51.5007	3.4953
Eperua falcata	-51.77058	-3.6759
Eperua falcata	-51.85311	-3.83793
Eperua falcata	-52.14078	3.29527
Eperua falcata	-58.746069	4.582783
Eperua falcata	-58.2247	4.93611
Eperua falcata	-58.1167	5.36667
Eperua falcata	-59.45	5.21667
Eperua falcata	-58.7119	4.73306
Eperua falcata	-58.7167	4.62639
Eperua falcata	-54.2	3.8333
Eperua falcata	-53.1667	5
Eperua falcata	-58.8417	4.55
Eperua falcata	-58.7122	5.16722
Eperua falcata	-60.5924	6.40875
Eperua falcata	-60.8387	5.52464
Eperua falcata	-51.8	3.91667
Eperua falcata	-55.6144444	3.8336111
Eperua falcata	-56.45083	3.00083
Eperua falcata	-58.66666	4.66666
Eperua falcata	-55.27132	5.41976
Eperua falcata	-58.83333	4.55
Eperua falcata	-52.95679	5.37676
Eperua falcata	-59.08333	7.75
Eperua falcata	-58.16667	5.33333
Eperua falcata	-54.65	4.41667
Eperua falcata	-54.9203	5.2706
Eperua falcata	-53.99495	5.484588
Eperua falcata	-52.673147	4.03805
Eperua falcata	-53.953355	2.82227
Eperua falcata	-54.341803	5.150108
Eperua falcata	-52.393112	4.721617
Eperua falcata	-52.337718	4.318447
Eperua falcata	-52.460425	4.561498
Eperua falcata	-52.306702	4.627882
Eperua falcata	-52.431341	4.534622
Eperua falcata	-52.218151	4.568467
Eperua falcata	-53.045078	5.084964
Eperua falcata	-53.000164	5.359697
Eperua falcata	-52.699837	5.066853
Eperua falcata	-52.171474	4.555501
Eperua falcata	-53.260175	3.602347
Eperua falcata	-52.475576	4.803416
Eperua falcata	-58.371119	6.565533
Eperua falcata	-53.462637	4.922137
Eperua falcata	-58.683435	4.666629
Eperua falcata	-58.90385	4.242457
Eperua falcata	-51.355433	2.656349
Eperua falcata	-53.660191	5.41271
Eperua falcata	-52.919568	4.620253
Eperua falcata	-53.544858	3.727037
Eperua falcata	-53.537513	3.738344
Eperua falcata	-53.192302	5.146901
Eperua falcata	-52.061981	3.518264
Eperua falcata	-55.295031	4.649853
Eperua falcata	-52.53165	3.9254
Eperua falcata	-52.51543	4.46131
Eperua falcata	-53.01059	5.21113
Eperua falcata	-54.324251	4.308904
Eperua falcata	-53.49295	5.28502
Eperua falcata	-53.04829	5.3089
Eperua falcata	-52.662118	4.900743
Eperua falcata	-52.588289	4.907579
