spp	x	y
Eschweilera coriacea	-51.866667	0.6
Eschweilera coriacea	-48.700278	-1.618889
Eschweilera coriacea	-52.58169937	-1.523329973
Eschweilera coriacea	-51.06639862	-0.366667002
Eschweilera coriacea	-50.483333	-0.65
Eschweilera coriacea	-45.666667	-3
Eschweilera coriacea	-49.8	-0.95
Eschweilera coriacea	-51.583333	1
Eschweilera coriacea	-50.15	-0.7
Eschweilera coriacea	-44.536281	-3.644169
Eschweilera coriacea	-66.895798	-4.88278
Eschweilera coriacea	-61.273439	-3.008942
Eschweilera coriacea	-68.409056	-6.628139
Eschweilera coriacea	-67.597806	-5.29125
Eschweilera coriacea	-57.5	-1
Eschweilera coriacea	-59.53333333	-1.83333333
Eschweilera coriacea	-60.304073	-3.770492
Eschweilera coriacea	-72.77	-7.631
Eschweilera coriacea	-67.975073	-3.142744
Eschweilera coriacea	-68.7481	-11.0161
Eschweilera coriacea	-74.368517	-8.225925
Eschweilera coriacea	-67.397797	-8.75222
Eschweilera coriacea	-59.483333	-1.833333
Eschweilera coriacea	-60.89970016	-12.55220032
Eschweilera coriacea	-63.90390015	-8.761940002
Eschweilera coriacea	-65.33940125	-10.78279972
Eschweilera coriacea	-63.82860184	-10.21170044
Eschweilera coriacea	-62.71139908	-11.6935997
Eschweilera coriacea	-55.737861	-10.995972
Eschweilera coriacea	-55.276402	-11.0617
Eschweilera coriacea	-54.051102	-14.4317
Eschweilera coriacea	-44.358601	-3.3925
Eschweilera coriacea	-47.5756	-1.35028
Eschweilera coriacea	-59.730556	-2.407222
Eschweilera coriacea	-48.504398	-1.45583
Eschweilera coriacea	-51.994999	-6.64472
Eschweilera coriacea	-67.809998	-9.97472
Eschweilera coriacea	-64.711403	-3.35417
Eschweilera coriacea	-64.785	-9.4408333
Eschweilera coriacea	-64.851666	-9.4413888
Eschweilera coriacea	-48.4125	-1.4405555
Eschweilera coriacea	-60.812199	-13.1889
Eschweilera coriacea	-64.817222	-9.5272222
Eschweilera coriacea	-48.768902	-1.88389
Eschweilera coriacea	-76.3998	-0.683983
Eschweilera coriacea	-76.5	-0.633333
Eschweilera coriacea	-77.5	-2.383333
Eschweilera coriacea	-77.1	-0.433333
Eschweilera coriacea	-64.066667	-17.366667
Eschweilera coriacea	-68.683333	-11.183333
Eschweilera coriacea	-60.321555	6.482555
Eschweilera coriacea	-56.880555	4.758333
Eschweilera coriacea	-53.2	3.616667
Eschweilera coriacea	-73.833333	-5.083333
Eschweilera coriacea	-60.083333	-2.316667
Eschweilera coriacea	-49.783333	-4.05
Eschweilera coriacea	-51.65	3.3
Eschweilera coriacea	-58.816667	1.516667
Eschweilera coriacea	-58.8	4.333333
Eschweilera coriacea	-61.05	5.8
Eschweilera coriacea	-62.816667	1.516667
Eschweilera coriacea	-60.566778	5.210611
Eschweilera coriacea	-59.966667	-2.883334
Eschweilera coriacea	-46.066667	-3.833333
Eschweilera coriacea	-55.8	-1.7
Eschweilera coriacea	-50.34097778	-4.43390556
Eschweilera coriacea	-49.7	-4
Eschweilera coriacea	-49.6	-3.5
Eschweilera coriacea	-65.6	-1.85
Eschweilera coriacea	-49.66666667	-4.05
Eschweilera coriacea	-60	-1.33333333
Eschweilera coriacea	-51.855469	1.515936
Eschweilera coriacea	-65.33333333	-3.59491667
Eschweilera coriacea	-63.31666667	0.81666667
Eschweilera coriacea	-52.2	-0.8
Eschweilera coriacea	-68.8	-10.85
Eschweilera coriacea	-59.85	-2.38333333
Eschweilera coriacea	-57.6	-3.2
Eschweilera coriacea	-56.86666667	4.75
