spp	x	y
Goupia glabra	-52.00220108	0.895555973
Goupia glabra	-51.616667	0.166667
Goupia glabra	-51.666667	1
Goupia glabra	-51.28939819	-0.115000002
Goupia glabra	-66	-2.7
Goupia glabra	-45.637442	-2.083956
Goupia glabra	-61.283333	1.766667
Goupia glabra	-61.300301	-5.80917
Goupia glabra	-67.089203	-0.130278
Goupia glabra	-61.955017	-6.391667
Goupia glabra	-56.092201	-2.15222
Goupia glabra	-62.924198	-0.974722
Goupia glabra	-58.0219	-2.74889
Goupia glabra	-61.449973	-0.659044
Goupia glabra	-55.566667	-11.6
Goupia glabra	-63.90390015	-8.761940002
Goupia glabra	-60.89970016	-12.55220032
Goupia glabra	-55.116699	-1.88806
Goupia glabra	-64.8042	-3.22083
Goupia glabra	-60.025	-2.03444
Goupia glabra	-56.775833	-9.369167
Goupia glabra	-55.226101	-11.9128
Goupia glabra	-59.605556	-10.2825
Goupia glabra	-61.557303	-0.788568
Goupia glabra	-59.966667	-2.883333
Goupia glabra	-61.333333	3.366667
Goupia glabra	-57.15	-0.966667
Goupia glabra	-59.727778	-2.407222
Goupia glabra	-59.761111	-2.407222
Goupia glabra	-45.371389	-1.663333
Goupia glabra	-48.788611	-2.1277777
Goupia glabra	-64.328055	-9.2333333
Goupia glabra	-64.727777	-9.4452777
Goupia glabra	-63.25	-9
Goupia glabra	-55.915833	-9.634167
Goupia glabra	-61.916667	3.316667
Goupia glabra	-60.418098	0.946111
Goupia glabra	-52.441667	4.949722
Goupia glabra	-55.434722	3.968056
Goupia glabra	-58.55	6.333333
Goupia glabra	-58.933334	4.25
Goupia glabra	-58.1802	3.359533
Goupia glabra	-59.249722	1.649166
Goupia glabra	-58.916667	3.883334
Goupia glabra	-64.458889	-9.27
Goupia glabra	-61.469722	-0.653611
Goupia glabra	-67	-0.183333
Goupia glabra	-59.85	-2.383333
Goupia glabra	-55.666667	-5.916667
Goupia glabra	-65.7	-9.866667
Goupia glabra	-65.75	3.666667
Goupia glabra	-67.416667	5.8
Goupia glabra	-67.916667	5.3
Goupia glabra	-64.780656	-3.300772
Goupia glabra	-60.05	-2.36
Goupia glabra	-50.34097778	-4.43390556
Goupia glabra	-52.2	-0.8
Goupia glabra	-52.43185833	1.86648889
Goupia glabra	-63.3	0.8
Goupia glabra	-52.302043	-0.824216
Goupia glabra	-60.03888889	-2.59722222
Goupia glabra	-64.66666667	-3.5
Goupia glabra	-52.85	0.45
Goupia glabra	-67.2	0.91666667
Goupia glabra	-58.83333333	1.53333333
Goupia glabra	-59.95	-2.36666667
Goupia glabra	-54.6	-12
Goupia glabra	-62.08916667	-1.02861111
Goupia glabra	-59.30833333	-10.21651111
Goupia glabra	-61.007035	1.468243
Goupia glabra	-64.45638889	-9.26972222
Goupia glabra	-63.98472222	-8.96555556
Goupia glabra	-59.25	-1.56
Goupia glabra	-65.03877778	-2.82847222
Goupia glabra	-59.79	-2.24
Goupia glabra	-59.4	-10.7
Goupia glabra	-52.38083333	1.22777778
Goupia glabra	-61.4424	1.0649
Goupia glabra	-65.03560556	-0.68353056
Goupia glabra	-66.859563	-0.23845
Goupia glabra	-63.864525	-0.77423889
Goupia glabra	-60.36	-3.75
