spp	x	y
Iriartea deltoidea	-56.814722	-9.34
Iriartea deltoidea	-66.895798	-4.88278
Iriartea deltoidea	-67.809998	-9.97472
Iriartea deltoidea	-68.504402	-10.6517
Iriartea deltoidea	-72.791702	-8.94111
Iriartea deltoidea	-68.4658333	-15.0753611
Iriartea deltoidea	-75.2597222	-10.3466666
Iriartea deltoidea	-72.3736111	-12.8980555
Iriartea deltoidea	-68.3564074	-15.4608796
Iriartea deltoidea	-68.7247584	-14.6474416
Iriartea deltoidea	-75.0697223	-10.5891666
Iriartea deltoidea	-76.2253333	-0.8895
Iriartea deltoidea	-75.2652778	-10.3283334
Iriartea deltoidea	-68.4475	-15.0058333
Iriartea deltoidea	-77.6	-1.0666667
Iriartea deltoidea	-75.7986111	-7.0863889
Iriartea deltoidea	-76.0138889	-7.0702778
Iriartea deltoidea	-78.05	-1.5
Iriartea deltoidea	-76.3688889	6.7447222
Iriartea deltoidea	-67.0333333	-15.1833333
Iriartea deltoidea	-67.0833333	-14.8333333
Iriartea deltoidea	-77.05	-0.2833333
Iriartea deltoidea	-67.53333	-15.78333
Iriartea deltoidea	-77	3.91666
Iriartea deltoidea	-75.16666	-10.16666
Iriartea deltoidea	-76.0291667	-6.9336111
Iriartea deltoidea	-76.15194	-0.09777
Iriartea deltoidea	-76.10277	-0.50027
Iriartea deltoidea	-71.36666	-12.9
Iriartea deltoidea	-76.9316667	-1.1636111
Iriartea deltoidea	-76.7266667	-0.7255556
Iriartea deltoidea	-76.4666667	-0.2
Iriartea deltoidea	-64.82611	-17.021944
Iriartea deltoidea	-76.38333	-0.66666
Iriartea deltoidea	-77.8	-0.86666
Iriartea deltoidea	-78.63416	-4.28583
Iriartea deltoidea	-78.91666	1.01666
Iriartea deltoidea	-79.16666	-0.08333
Iriartea deltoidea	-78.63333	-4.36666
Iriartea deltoidea	-76.43333	-0.21666
Iriartea deltoidea	-79.11666	-0.25
Iriartea deltoidea	-68.5111111	-14.2127778
Iriartea deltoidea	-63.66666	-17.73333
Iriartea deltoidea	-75.85861	-0.62444
Iriartea deltoidea	-78.9	0.8
Iriartea deltoidea	-76.38333	-0.53333
Iriartea deltoidea	-77.56666	-1.05
Iriartea deltoidea	-76.18333	0.01666
Iriartea deltoidea	-76.4652778	-0.6075
Iriartea deltoidea	-77.8833333	-1.6333333
Iriartea deltoidea	-75.36638	-0.92111
Iriartea deltoidea	-67.98333	-11.73333
Iriartea deltoidea	-72.699166	-11.785556
Iriartea deltoidea	-73.833333	-8.333333
Iriartea deltoidea	-68.266667	-12.016667
Iriartea deltoidea	-74.9	6.783333
Iriartea deltoidea	-69.083333	-11.416667
Iriartea deltoidea	-69.333333	-11.2
Iriartea deltoidea	-78.5	-3.533333
Iriartea deltoidea	-77.366667	-0.65
Iriartea deltoidea	-76.933334	3.983334
Iriartea deltoidea	-66	0.816667
Iriartea deltoidea	-73.75	-3.91667
Iriartea deltoidea	-62.03333333	-7.96666667
Iriartea deltoidea	-72.91666667	-7.66666667
Iriartea deltoidea	-60.66666667	-9.16666667
Iriartea deltoidea	-63.6622222	-10.7902777
Iriartea deltoidea	-76.75	-0.4166667
Iriartea deltoidea	-79.23333	-0.93333
Iriartea deltoidea	-78.9	0.76666
Iriartea deltoidea	-77.33333	-0.6
Iriartea deltoidea	-77.94666	-1.57611
Iriartea deltoidea	-67.5016667	-14.55
Iriartea deltoidea	-68.8302493	-14.7261479
Iriartea deltoidea	-68.7308778	-14.6808973
Iriartea deltoidea	-76.6058333	-8.2136111
Iriartea deltoidea	-78.31666	-4.91666
Iriartea deltoidea	-71.36666	-11.86666
Iriartea deltoidea	-75.0333333	-9.6833333
Iriartea deltoidea	-75.08333	-10.5
Iriartea deltoidea	-78.61666	-4.11666
Iriartea deltoidea	-69.2925	-12.8377777
Iriartea deltoidea	-76.85	-1.5333333
Iriartea deltoidea	-69.15	-12.58333
Iriartea deltoidea	-77.41666	-0.03333
Iriartea deltoidea	-72.9166667	-3.3333333
Iriartea deltoidea	-68.76666	-13.58333
Iriartea deltoidea	-76.7	-0.03333
Iriartea deltoidea	-77.01666	-0.5
Iriartea deltoidea	-69.8333333	-13.5
Iriartea deltoidea	-70.25	-3.7
Iriartea deltoidea	-69.047218	-11.18994
Iriartea deltoidea	-75.33333	-10.15
Iriartea deltoidea	-76.9166667	-2.8333333
Iriartea deltoidea	-74.9	-11.0166667
Iriartea deltoidea	-74.38333	-10.75
Iriartea deltoidea	-76.46666	-2.8
Iriartea deltoidea	-73.5	-4.16666
Iriartea deltoidea	-74.75	-8.66666
Iriartea deltoidea	-78.43333	0.86666
Iriartea deltoidea	-78.3166667	-4.9166667
Iriartea deltoidea	-76.4014	-0.67814
Iriartea deltoidea	-69.48632	-12.96774
Iriartea deltoidea	-70.1028	-12.5652
Iriartea deltoidea	-78.166667	-2.283333
Iriartea deltoidea	-72.23	-9.2
Iriartea deltoidea	-71	-8.25
Iriartea deltoidea	-68.75	-10.75
Iriartea deltoidea	-63.0457735	-6.8379339
Iriartea deltoidea	-68.3	-12.02
Iriartea deltoidea	-74.92	-10.25
Iriartea deltoidea	-76.83	6.58
Iriartea deltoidea	-70.97	-11.88
Iriartea deltoidea	-63.72	-17.65
Iriartea deltoidea	-73.1639	-5.2917
Iriartea deltoidea	-74.75	-8.67
Iriartea deltoidea	-66.17	0.83
Iriartea deltoidea	-77.2	4.25
Iriartea deltoidea	-77.67	-1.83
Iriartea deltoidea	-73.5	-4.17
Iriartea deltoidea	-78.2	-2.37
Iriartea deltoidea	-75.14805	-10.185
Iriartea deltoidea	-77.3	-0.5
Iriartea deltoidea	-78.2	-2.67
Iriartea deltoidea	-63.67	-17.73
Iriartea deltoidea	-71.883904	-9.43417
Iriartea deltoidea	-70.765602	-8.16139
Iriartea deltoidea	-55.45080185	-10.81779957
Iriartea deltoidea	-65.463055	-9.6191666
Iriartea deltoidea	-78.25	1
Iriartea deltoidea	-69.25	-11.333333
Iriartea deltoidea	-66.166667	0.833334
Iriartea deltoidea	-76.166667	-0.083333
Iriartea deltoidea	-63	-7.16666667
Iriartea deltoidea	-63.35	0.81666667
Iriartea deltoidea	-64.5	-9.5
Iriartea deltoidea	-76.4645833	-0.6425833
Iriartea deltoidea	-68.7450083	-14.1449944
Iriartea deltoidea	-74.91666	-10.75
Iriartea deltoidea	-75.09111	-10.38694
Iriartea deltoidea	-75.33333	-10.2
Iriartea deltoidea	-79.7	0.35361
Iriartea deltoidea	-76.34222	-0.34083
Iriartea deltoidea	-76.53333	-0.4
Iriartea deltoidea	-75.88638	-1.0425
Iriartea deltoidea	-76.16666	-0.08333
Iriartea deltoidea	-76.33333	-0.3
Iriartea deltoidea	-77.16472	-1.02
Iriartea deltoidea	-78.16666	-2.28333
Iriartea deltoidea	-79.26666	0.13333
Iriartea deltoidea	-75.4	-10.5667
Iriartea deltoidea	-78.8333	-4.25
Iriartea deltoidea	-64.44	-9
Iriartea deltoidea	-71.7830556	-4.4240834
Iriartea deltoidea	-71.4077778	-11.8880555
Iriartea deltoidea	-72.9166667	-3.2636111
