spp	x	y
Licania apetala	-47.856125	-15.907056
Licania apetala	-61.777286	3.680619
Licania apetala	-48.836944	-15.794722
Licania apetala	-53.369722	-18.295833
Licania apetala	-54.693372	-2.451772
Licania apetala	-65.108299	-2.99
Licania apetala	-48.451111	-14.464444
Licania apetala	-48.193611	-16.336944
Licania apetala	-65.045833	-9.616389
Licania apetala	-65.366667	-9.597778
Licania apetala	-57.31	-7.35
Licania apetala	-49.4	-4.03
Licania apetala	-59.58	-2.53
Licania apetala	-50.044399	-7.83306
Licania apetala	-62.05	-1.01
Licania apetala	-57.8708	-2.57194
Licania apetala	-55.983601	-4.27611
Licania apetala	-64.4242	-9.1705
Licania apetala	-48.47168	-2.07362
Licania apetala	-65.0245	-9.3659
Licania apetala	-61.433333	3.366667
Licania apetala	-61.516667	3.35
Licania apetala	-61.916667	3.316667
Licania apetala	-57.824167	4.934444
Licania apetala	-59.7	4.716667
Licania apetala	-53.2	3.616667
Licania apetala	-76.243	-5.993834
Licania apetala	-69.083055	-12.528055
Licania apetala	-69.05	-12.55
Licania apetala	-76.616667	-0.416667
Licania apetala	-64.711666	-9.284722
Licania apetala	-77	-2.18
Licania apetala	-66	-1
Licania apetala	-67.13	6.25
Licania apetala	-54.25	3.22
Licania apetala	-64.7806	-3.3008
Licania apetala	-52.91033056	-1.45515278
Licania apetala	-56.63333333	-9.93333333
Licania apetala	-55.83333333	-15.38333333
Licania apetala	-55.38333333	-15.86666667
Licania apetala	-55.75	-15.5
Licania apetala	-57	-0.95
Licania apetala	-63.31666667	0.81666667
Licania apetala	-60.12	-2.58
Licania apetala	-55	-2.51666667
Licania apetala	-60.28333333	-3.03333333
Licania apetala	-55	-9
Licania apetala	-60.25	-2.8
Licania apetala	-62.2	1
Licania apetala	-48.0248	-16.5067
Licania apetala	-60.069444	-3.160333
Licania apetala	-60.9825	1.34801
Licania apetala	-61.2	1.2
Licania apetala	-62.91285	-0.9494
Licania apetala	-63.55516667	-8.36856111
Licania apetala	-62.924	-0.975
Licania apetala	-60.1694	-3.1278
Licania apetala	-60.369744	-3.094269
Licania apetala	-60.1	-1.7
Licania apetala	-60.26666667	-1.98333333
Licania apetala	-67.08	0.11
Licania apetala	-59.1	-3.98333333
Licania apetala	-59.4	-10.7
Licania apetala	-60.058672	-2.716039
Licania apetala	-61.879444	-1.385556
Licania apetala	-48.06667	-14.13333
Licania apetala	-47.916666	-15.95
Licania apetala	-48.533333	-17.7
Licania apetala	-47.458302	-13.7975
Licania apetala	-47.208333	-15.994166
Licania apetala	-47.375555	-6.93
Licania apetala	-43.681389	-20.022222
Licania apetala	-50.5586111	-17.5422222
Licania apetala	-47.4958333	-2.5586111
Licania apetala	-47.9652778	-2.0088889
Licania apetala	-48.4397222	-10.1416666
Licania apetala	-48.4169445	-10.7083333
Licania apetala	-48.4175	-10.6461111
Licania apetala	-48.7833334	-11.1280556
Licania apetala	-48.2316667	-10.1208334
Licania apetala	-55.965	-11.315
Licania apetala	-52.009998	-2.88
Licania apetala	-55.6441666	-20.4475
Licania apetala	-57.653301	-19.009199
