spp	x	y
Euterpe oleracea	-39.18	-14.783333
Euterpe oleracea	-39.166667	-14.8
Euterpe oleracea	-39.28440094	-14.59309959
Euterpe oleracea	-66.976402	-7.71361
Euterpe oleracea	-49.6	-3.5
Euterpe oleracea	-67.866139	-9.957861
Euterpe oleracea	-35.9394	-8.9725
Euterpe oleracea	-51.281388	0.10111111
Euterpe oleracea	-47.5	-6.5
Euterpe oleracea	-55.749699	-15.4606
Euterpe oleracea	-54.891399	-11.5153
Euterpe oleracea	-45.069722	-23.431667
Euterpe oleracea	-65.5811	-1.85611
Euterpe oleracea	-59.7417	6.79167
Euterpe oleracea	-59.15	2.21667
Euterpe oleracea	-58.8167	4.425
Euterpe oleracea	-58.5	4.33333
Euterpe oleracea	-55.6411	3.85958
Euterpe oleracea	-58.1292	3.35931
Euterpe oleracea	-79.08333	1.06666
Euterpe oleracea	-78.8	1.06666
Euterpe oleracea	-78.96666	1.16666
Euterpe oleracea	-79.08333	1.16666
Euterpe oleracea	-59.7	7.36667
Euterpe oleracea	-59.38333	3.13333
Euterpe oleracea	-54.73917	4.26722
Euterpe oleracea	-55.78333	2.33333
Euterpe oleracea	-53.58333	3.05
Euterpe oleracea	-52.33333	4.93333
Euterpe oleracea	-57.8983333	-13.6402777
Euterpe oleracea	-39.9183334	-18.8544444
Euterpe oleracea	-59.5	3.3666667
Euterpe oleracea	-63.1166667	10.5013889
Euterpe oleracea	-73.5	-3.83333
Euterpe oleracea	-72.91666	9.58333
Euterpe oleracea	-55.43472	3.96805
Euterpe oleracea	-64.711403	-3.35417
Euterpe oleracea	-48.504398	-1.45583
Euterpe oleracea	-48.2347	-1.2615
Euterpe oleracea	-51.21563	-0.14186
Euterpe oleracea	-48.33479	-1.14975
Euterpe oleracea	-44.8202778	-5.4
Euterpe oleracea	-46.43	-2.72
Euterpe oleracea	-45.9635328	-3.1404534
Euterpe oleracea	-44.5	-4
Euterpe oleracea	-49.933333	-0.966667
Euterpe oleracea	-77	3.92
Euterpe oleracea	-78.98	1.1
Euterpe oleracea	-61.193151	10.611195
Euterpe oleracea	-54.7258334	-2.4638889
Euterpe oleracea	-48.509201	-25.52
Euterpe oleracea	-48.5680556	-1.6475
Euterpe oleracea	-48.3602778	-2.5447222
Euterpe oleracea	-48.4952777	-1.5311111
Euterpe oleracea	-61.823333	-1.958333
Euterpe oleracea	-44.548556	-2.920194
Euterpe oleracea	-48.9761111	-1.6191667
Euterpe oleracea	-54.9744445	-2.8425
Euterpe oleracea	-46.083333	-3.666667
Euterpe oleracea	-48.4038889	-1.4888889
Euterpe oleracea	-48.4463889	-1.5036111
