spp	x	y
Euterpe precatoria	-61.3731	-3.89833
Euterpe precatoria	-66.895798	-4.88278
Euterpe precatoria	-60.080189	-14.830286
Euterpe precatoria	-70.3536	-8.16417
Euterpe precatoria	-67.1856	-10.3353
Euterpe precatoria	-56.795833	-9.323056
Euterpe precatoria	-55.662306	-10.116278
Euterpe precatoria	-57.839722	-9.542222
Euterpe precatoria	-56.814444	-9.355833
Euterpe precatoria	-65	-9.3333333
Euterpe precatoria	-70.031097	-4.38306
Euterpe precatoria	-65.5811	-1.85611
Euterpe precatoria	-64.849722	-9.3669444
Euterpe precatoria	-65.058055	-9.6155555
Euterpe precatoria	-57.414398	-11.5353
Euterpe precatoria	-70.333333	-4.333333
Euterpe precatoria	-65	-9.666667
Euterpe precatoria	-63.466667	-12.066667
Euterpe precatoria	-65.25	-10.716667
Euterpe precatoria	-79.133333	-4.566667
Euterpe precatoria	-77.666667	-1.05
Euterpe precatoria	-76.216667	0.05
Euterpe precatoria	-76.433333	-3.75
Euterpe precatoria	-54.7	-8.2344
Euterpe precatoria	-62.03333333	-7.96666667
Euterpe precatoria	-59.763415	-2.451006
Euterpe precatoria	-73.55	-7.42
Euterpe precatoria	-59.96666667	-2.88333333
Euterpe precatoria	-60.08333333	-2.6
Euterpe precatoria	-65.63333333	-4.6
Euterpe precatoria	-60.11388889	-4.19722222
Euterpe precatoria	-60.48	1.26
Euterpe precatoria	-65.08444444	-25.45777778
Euterpe precatoria	-62.924198	-0.974722
Euterpe precatoria	-59.4	-10.1
Euterpe precatoria	-60.66666667	-9.16666667
Euterpe precatoria	-56.7889	2.325
Euterpe precatoria	-62.9333	-10.1167
Euterpe precatoria	-66.1556	0.8417
Euterpe precatoria	-59.25	2.1667
Euterpe precatoria	-58	5.66667
Euterpe precatoria	-58.66	3.16
Euterpe precatoria	-77.17	-0.33
Euterpe precatoria	-69.28	-12.83
Euterpe precatoria	-58.66667	3.16667
Euterpe precatoria	-73.66667	-4.91667
Euterpe precatoria	-75.1833333	-10.1625
Euterpe precatoria	-76.17776	-0.01249
Euterpe precatoria	-76.3688889	6.7447222
Euterpe precatoria	-67.08333	-14.83333
Euterpe precatoria	-67.41666	-11.66666
Euterpe precatoria	-74.91666	-10.75
Euterpe precatoria	-75.08666	-10.39527
Euterpe precatoria	-75.2591667	-10.3469444
Euterpe precatoria	-76.2253333	-0.8895
Euterpe precatoria	-76.4595167	-0.61125
Euterpe precatoria	-61.14638	-14.38916
Euterpe precatoria	-60.78333	-14.6
Euterpe precatoria	-60.7425	-14.3625
Euterpe precatoria	-60.80222	-13.90222
Euterpe precatoria	-78.63222	-4.28166
Euterpe precatoria	-76.38333	-0.66666
Euterpe precatoria	-78.96666	-4.11666
Euterpe precatoria	-78.74888	-4.27555
Euterpe precatoria	-77.66666	-1.05
Euterpe precatoria	-76.6	-0.4
Euterpe precatoria	-76.18333	0.01666
Euterpe precatoria	-60.81666	-14.56666
Euterpe precatoria	-61.1425	-14.7094444
Euterpe precatoria	-56.77222	2.35056
Euterpe precatoria	-59.56667	3.31667
Euterpe precatoria	-59.7	7.36667
Euterpe precatoria	-61.02	-12.06
Euterpe precatoria	-63.1652778	-8.9538889
Euterpe precatoria	-64.6522222	-9.2361111
Euterpe precatoria	-76.3127778	6.535
Euterpe precatoria	-76.2308334	6.5244445
Euterpe precatoria	-78.9	0.76666
Euterpe precatoria	-72.9	9.6
Euterpe precatoria	-74.5	-5.03333
Euterpe precatoria	-74.9833333	6.0666667
Euterpe precatoria	-68.8166667	6.2166667
Euterpe precatoria	-71.9333333	7.15
Euterpe precatoria	-69.15	-12.58333
Euterpe precatoria	-77.0333333	3.9166667
Euterpe precatoria	-72.9166667	-3.3333333
Euterpe precatoria	-62.25	5.91666
Euterpe precatoria	-76.08333	-0.86666
Euterpe precatoria	-76.9166667	-2.8333333
Euterpe precatoria	-77.25	-5.83333
Euterpe precatoria	-66.26666	0.91666
Euterpe precatoria	-72.31666	-0.41666
Euterpe precatoria	-69.05	-12.48333
Euterpe precatoria	-75.16666	-10.33333
Euterpe precatoria	-70.5	-3.91666
Euterpe precatoria	-73.5	-4.16666
Euterpe precatoria	-72.83333	-3.7
Euterpe precatoria	-70.25	-3.78333
Euterpe precatoria	-65	-9.66666
Euterpe precatoria	-76.7	-0.03333
Euterpe precatoria	-74.65	5.8833333
Euterpe precatoria	-77	3.91666
Euterpe precatoria	-62.936111	-9.185
Euterpe precatoria	-69.48632	-12.96774
Euterpe precatoria	-76.39888	-0.67414
