spp	x	y
Protium altissimum	-51.815833	-16.953889
Protium altissimum	-59.727778	-2.407222
Protium altissimum	-48.316667	-14.033333
Protium altissimum	-49.033333	-14.666667
Protium altissimum	-48.35	-13.866667
Protium altissimum	-48.3675	-9.9875
Protium altissimum	-39.083333	-15.15
Protium altissimum	-48.452778	-16.234722
Protium altissimum	-47.457889	-13.8235
Protium altissimum	-47.458806	-13.823333
Protium altissimum	-51.467778	-16.370556
Protium altissimum	-47.311389	-13.780556
Protium altissimum	-46.5812	-12.5218
Protium altissimum	-47.1436	-7.5128
Protium altissimum	-55.473	-9.3126
Protium altissimum	-55.2859	-9.3846
Protium altissimum	-54.837917	-16.511333
Protium altissimum	-46.882222	-10.269167
Protium altissimum	-46.434444	-10.504444
Protium altissimum	-47.941944	-16.773889
Protium altissimum	-50.85	-10.183333
Protium altissimum	-51.866667	-11.2
Protium altissimum	-57.5	-10.116667
Protium altissimum	-57.1	-10
Protium altissimum	-57.1	-9.95
Protium altissimum	-51.233333	-10.166667
Protium altissimum	-46.771702	-13.0367
Protium altissimum	-48.233333	-13.683333
Protium altissimum	-47.380833	-6.942056
Protium altissimum	-52.009998	-2.88
Protium altissimum	-46.25	-4.08
Protium altissimum	-49.25	-5.58
Protium altissimum	-58.5833	5.36667
Protium altissimum	-45.67	-3
Protium altissimum	-53.2	3.61
Protium altissimum	-66.5	6.91
Protium altissimum	-49.8	-0.95
Protium altissimum	-56.88	4.75
Protium altissimum	-52.7	4.03
Protium altissimum	-49.796398	-4.33056
Protium altissimum	-50.15	-5.3
Protium altissimum	-47.352798	-2.99583
Protium altissimum	-49.44	-4.11
Protium altissimum	-54.708302	-2.44306
Protium altissimum	-52.581699	-1.52333
Protium altissimum	-46.139999	-1.19667
Protium altissimum	-51.0839	-6.75472
Protium altissimum	-48.768902	-1.88389
Protium altissimum	-48.1178	-1.2946
Protium altissimum	-56.52	4.45
Protium altissimum	-60.5975	2.61028
Protium altissimum	-47.2422	-2.593
Protium altissimum	-50.7122	-1.80444
Protium altissimum	-49.117802	-5.36861
Protium altissimum	-47.38088	-3.07298
Protium altissimum	-49.00507	-3.04458
Protium altissimum	-62.0559	-11.42
Protium altissimum	-48.35052	-3.47554
Protium altissimum	-48.3608	-3.4254
Protium altissimum	-75.2808334	-10.3808334
Protium altissimum	-67.7888889	-14.9877777
Protium altissimum	-67.90777	-14.17138
Protium altissimum	-67.94888	-14.20777
Protium altissimum	-67.9605556	-14.2091667
Protium altissimum	-67.94361	-14.22555
Protium altissimum	-67.67333	-14.56416
Protium altissimum	-67.6530556	-14.6144444
Protium altissimum	-67.9611111	-14.3572222
Protium altissimum	-67.795	-14.9736111
Protium altissimum	-69.261111	-12.8258334
Protium altissimum	-69.2861111	-12.8344444
Protium altissimum	-69.2958333	-12.8383333
Protium altissimum	-52.6038889	-5.9525
Protium altissimum	-50.3341666	-6.1963889
Protium altissimum	-52.7822223	-0.4788889
Protium altissimum	-55.828611	-9.465833
Protium altissimum	-47.489166	-6.74
Protium altissimum	-56.301388	-4.5255555
Protium altissimum	-48.22	-13.148611
Protium altissimum	-47.142777	-7.2761111
Protium altissimum	-50.6941666	-17.5433333
Protium altissimum	-48.4169445	-10.7083333
Protium altissimum	-46.7827778	-11.9022222
Protium altissimum	-56.6666667	-3.8
Protium altissimum	-49.3694445	-7.9872222
Protium altissimum	-50.955	-6.2616667
Protium altissimum	-47.4061111	-2.9916666
Protium altissimum	-59.133056	-8.995833
Protium altissimum	-56.16	-15.12
Protium altissimum	-52	-15.66
Protium altissimum	-52.1436111	-14.8463889
Protium altissimum	-48.5661111	-12.8544444
Protium altissimum	-48.155	-11.3036111
Protium altissimum	-47.2433333	-7.8577778
Protium altissimum	-48.3052778	-10.4525
Protium altissimum	-52.0186111	-16.8352777
Protium altissimum	-50.4916666	-16.1794445
Protium altissimum	-56	-9
Protium altissimum	-48.45	-14.496111
