spp	x	y
Pseudolmedia laevis	-60.309175	-2.405939
Pseudolmedia laevis	-60.302689	-2.417011
Pseudolmedia laevis	-62.203981	-7.931017
Pseudolmedia laevis	-62.849775	-7.899308
Pseudolmedia laevis	-71.883904	-9.43417
Pseudolmedia laevis	-62.521197	-4.725039
Pseudolmedia laevis	-67.5765	-5.347194
Pseudolmedia laevis	-62.101467	-6.406172
Pseudolmedia laevis	-69.586419	-9.291356
Pseudolmedia laevis	-69.666203	-9.450769
Pseudolmedia laevis	-73.677222	-7.448056
Pseudolmedia laevis	-73.794444	-7.446944
Pseudolmedia laevis	-69	-11
Pseudolmedia laevis	-63.82860184	-10.21170044
Pseudolmedia laevis	-63.90390015	-8.761940002
Pseudolmedia laevis	-60.89970016	-12.55220032
Pseudolmedia laevis	-60.54169846	-13.11670017
Pseudolmedia laevis	-64.22720337	-12.44499969
Pseudolmedia laevis	-55.736667	-10.985278
Pseudolmedia laevis	-55.757778	-10.986944
Pseudolmedia laevis	-55.566136	-10.962192
Pseudolmedia laevis	-55.27640152	-11.06169987
Pseudolmedia laevis	-56.776389	-9.337778
Pseudolmedia laevis	-56.7725	-9.332222
Pseudolmedia laevis	-59.966667	-2.883333
Pseudolmedia laevis	-57.826944	-9.838333
Pseudolmedia laevis	-55.5703	-9.364
Pseudolmedia laevis	-50.7972222	-3.3722223
Pseudolmedia laevis	-74.0386111	-11.37
Pseudolmedia laevis	-69.2833333	-12.8333333
Pseudolmedia laevis	-69.15	-12.5833333
Pseudolmedia laevis	-77.13333	-0.5
Pseudolmedia laevis	-76.6166667	-0.4166667
Pseudolmedia laevis	-76.3833333	-0.8
Pseudolmedia laevis	-69.0833333	-12.5833333
Pseudolmedia laevis	-76.96666	-0.51666
Pseudolmedia laevis	-76.36666	-0.55
Pseudolmedia laevis	-63.73333	-17.55138
Pseudolmedia laevis	-65.8333333	-11.0833333
Pseudolmedia laevis	-76.8	-1.7833333
Pseudolmedia laevis	-76.3	-0.8333333
Pseudolmedia laevis	-76.2	-0.98333
Pseudolmedia laevis	-76.43333	-0.65
Pseudolmedia laevis	-60.82	-14.55833
Pseudolmedia laevis	-60.40305	-14.8075
Pseudolmedia laevis	-60.31666	-14.56666
Pseudolmedia laevis	-67.9833333	-11.7333333
Pseudolmedia laevis	-60.82	-13.65833
Pseudolmedia laevis	-67.94583	-11.60194
Pseudolmedia laevis	-60.86666	-14.26666
Pseudolmedia laevis	-60.7425	-14.3625
Pseudolmedia laevis	-77.45	-1.45
Pseudolmedia laevis	-76.26666	-0.3
Pseudolmedia laevis	-76.53333	-0.51666
Pseudolmedia laevis	-67.7908333	-14.9797223
Pseudolmedia laevis	-68.2152778	-14.4847222
Pseudolmedia laevis	-76.34166	-0.34111
Pseudolmedia laevis	-67.6530556	-14.6144444
Pseudolmedia laevis	-68.1763889	-14.4516667
Pseudolmedia laevis	-67.9238889	-14.4230556
Pseudolmedia laevis	-69.6	-13.13333
Pseudolmedia laevis	-78.22222	-2.20833
Pseudolmedia laevis	-68.8488889	-13.03
Pseudolmedia laevis	-68.63166	-15.19777
Pseudolmedia laevis	-69.07638	-12.5175
Pseudolmedia laevis	-68.92944	-14.59777
Pseudolmedia laevis	-68.8325	-14.5575
Pseudolmedia laevis	-68.7409444	-14.1609167
Pseudolmedia laevis	-67.3166667	-15.5
Pseudolmedia laevis	-68.5916666	-14.7791667
Pseudolmedia laevis	-75.10583	-10.44555
Pseudolmedia laevis	-75.09944	-10.39388
Pseudolmedia laevis	-64.2313889	-16.7816667
Pseudolmedia laevis	-68.7793056	-14.5719723
Pseudolmedia laevis	-75.0555556	-10.3641667
Pseudolmedia laevis	-75.0716667	-10.3766667
Pseudolmedia laevis	-68.8302493	-14.7261479
Pseudolmedia laevis	-72.3736111	-12.8980555
Pseudolmedia laevis	-68.3501414	-15.4616414
Pseudolmedia laevis	-68.7308778	-14.6808973
Pseudolmedia laevis	-68.7264223	-14.7601583
Pseudolmedia laevis	-75.3297223	-10.41
Pseudolmedia laevis	-67.8130833	-14.0843611
Pseudolmedia laevis	-67.8010556	-14.0823334
