spp	x	y
Vouacapoua americana	-52.009998	-2.88
Vouacapoua americana	-51.9655556	-3.2563889
Vouacapoua americana	-49.933333	-0.966667
Vouacapoua americana	-48.700278	-1.488333
Vouacapoua americana	-49.016388	-3.0722222
Vouacapoua americana	-53	5.333333
Vouacapoua americana	-49.47	-4.03
Vouacapoua americana	-48.4732	-2.1027
Vouacapoua americana	-51.3816	-1.5858
Vouacapoua americana	-47.49578	-1.17155
Vouacapoua americana	-48.22519	-1.23027
Vouacapoua americana	-51.4138	-1.4538
Vouacapoua americana	-51.3933	-1.46
Vouacapoua americana	-49.16002	-3.03547
Vouacapoua americana	-49.796398	-4.33056
Vouacapoua americana	-47.352798	-2.99583
Vouacapoua americana	-55.5734	3.88737
Vouacapoua americana	-56.7889	2.325
Vouacapoua americana	-55.611	3.83226
Vouacapoua americana	-52.33	4.45
Vouacapoua americana	-49.7833	-4.05
Vouacapoua americana	-53.2	3.61
Vouacapoua americana	-54.6667	5.3333
Vouacapoua americana	-49.8	-0.95
Vouacapoua americana	-53.048	5.30342
Vouacapoua americana	-52.9	5
Vouacapoua americana	-53.15	4.76667
Vouacapoua americana	-51.45	1.1333333
Vouacapoua americana	-47.98333	-1.5
Vouacapoua americana	-49.7	-3.83333333
Vouacapoua americana	-49.6	-3.5
Vouacapoua americana	-48.76776944	-1.71781389
Vouacapoua americana	-49.58305556	-0.98305556
Vouacapoua americana	-52.33333333	-3
Vouacapoua americana	-51.76083333	-3.22
Vouacapoua americana	-48.7969444	-2.17
Vouacapoua americana	-50.18	-0.7
Vouacapoua americana	-51.28939819	-0.115000002
Vouacapoua americana	-48.160599	-1.29861
Vouacapoua americana	-48.2635	-2.2549
Vouacapoua americana	-51.1978	-3.47222
Vouacapoua americana	-48.41324	-1.4409
Vouacapoua americana	-49.76107	-2.80245
Vouacapoua americana	-50.7122	-1.80444
Vouacapoua americana	-51.422	-1.4737
Vouacapoua americana	-52.206402	-3.20333
Vouacapoua americana	-49.90265556	-4.25770278
Vouacapoua americana	-52.2	-0.8
Vouacapoua americana	-53.05	4.88333
Vouacapoua americana	-49.8343411	-4.0843892
Vouacapoua americana	-52.9	5.38333
Vouacapoua americana	-53.65	5.15
Vouacapoua americana	-49.2552778	-3.1327778
Vouacapoua americana	-48.4902777	-1.4558333
Vouacapoua americana	-48.7344444	-1.6161111
Vouacapoua americana	-56.0463889	-1.0525
Vouacapoua americana	-57.0527778	-1.3325
Vouacapoua americana	-56.3916666	-1.6947222
Vouacapoua americana	-52.343381	4.377393
Vouacapoua americana	-52.256144	4.277592
Vouacapoua americana	-52.318677	4.360966
Vouacapoua americana	-52.553366	4.40422
Vouacapoua americana	-52.327914	4.793907
Vouacapoua americana	-52.516609	4.753316
Vouacapoua americana	-54.611504	4.250321
Vouacapoua americana	-52.634309	4.824909
Vouacapoua americana	-52.008313	4.398437
Vouacapoua americana	-53.498376	3.768672
Vouacapoua americana	-51.915128	4.153889
Vouacapoua americana	-53.840128	5.254294
Vouacapoua americana	-52.608802	4.301224
Vouacapoua americana	-52.732273	4.173537
Vouacapoua americana	-54.31002	4.400319
Vouacapoua americana	-53.17744	3.66725
Vouacapoua americana	-52.703639	5.0987
Vouacapoua americana	-53.1981	3.64756
Vouacapoua americana	-52.27922	4.61035
Vouacapoua americana	-57.117675	2.776403
Vouacapoua americana	-57.013008	2.566108
Vouacapoua americana	-57.21114	3.076823
Vouacapoua americana	-57.060547	2.686886
Vouacapoua americana	-57.289986	3.273014
Vouacapoua americana	-57.21326	2.9672
Vouacapoua americana	-57.304406	3.390891
Vouacapoua americana	-51.736944	-3.268333
Vouacapoua americana	-51.805556	-3.208611
Vouacapoua americana	-51.993055	-3.424722
Vouacapoua americana	-51.757222	-3.279444
Vouacapoua americana	-51.973611	-3.208889
Vouacapoua americana	-51.723056	-3.145555
Vouacapoua americana	-51.888055	-3.3575
Vouacapoua americana	-51.878611	-3.390278
Vouacapoua americana	-53.847835	2.204082
Vouacapoua americana	-54.44059	2.25247
Vouacapoua americana	-54.45392	2.24353
Vouacapoua americana	-53.4	5.2
Vouacapoua americana	-53.83369	5.411619
Vouacapoua americana	-53.7546	5.15062
Vouacapoua americana	-54.32644	2.23803
Vouacapoua americana	-53.72569	4.94635
Vouacapoua americana	-54.18722	4.84694
Vouacapoua americana	-52.57173	4.60101
Vouacapoua americana	-52.35718	4.18786
Vouacapoua americana	-52.9521	5.02608
Vouacapoua americana	-53.41397	4.59457
Vouacapoua americana	-53.87387	5.5053
Vouacapoua americana	-53.97518	4.69401
Vouacapoua americana	-53.90449	3.5355
Vouacapoua americana	-54.38459	4.4742
Vouacapoua americana	-52.35013	4.29056
Vouacapoua americana	-52.23741	4.0561
Vouacapoua americana	-52.43035	3.7973
Vouacapoua americana	-52.31755	3.72491
Vouacapoua americana	-53.31341	4.55545
Vouacapoua americana	-53.24865	4.67709
Vouacapoua americana	-51.81	-2.223889
Vouacapoua americana	-48.42	-1.291667
Vouacapoua americana	-53.67	4.92
Vouacapoua americana	-50.25	-5.5
Vouacapoua americana	-51.615278	-1.96
Vouacapoua americana	-48.79824	-2.11735
Vouacapoua americana	-59.96667	-2.88333
Vouacapoua americana	-59.25417	0.73722
Vouacapoua americana	-49.53333	-3.5
Vouacapoua americana	-55.36667	-1.75
Vouacapoua americana	-57.51667	-7.58333
Vouacapoua americana	-52.91667	-0.91667
Vouacapoua americana	-46.68197	-0.91478
Vouacapoua americana	-54.16667	0.4
